pos_name,tri1,tri2,tri3
pb,338,800,800
nb,-800,-800,-338
ps,113,285,458
ns,-458,-285,-113
pc,-1,118,236
nc,-236,-118,1
pb,27,50,50
nb,-50,-50,-27
ps,26,32,38
ns,-38,-32,-26
pc,-1,14,29
nc,-29,-14,1
nc,0,0,0
pb,1361,2000,2000
nb,-2000,-2000,-1361
ps,-1,703,1407
ns,-1407,-703,1
